Time results were received,MD5 hash of participant's IP address,Controller name,Item number,Element number,Type,Group,Word number,Word,Reading time,Newline,Sentence (or sentence MD5)
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,13,0,gp.intrans,2,1,Since,319,FALSE,Since Dave worried the counselor devised a plan.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,13,0,gp.intrans,2,2,Dave,340,FALSE,Since Dave worried the counselor devised a plan.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,13,0,gp.intrans,2,3,worried,384,FALSE,Since Dave worried the counselor devised a plan.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,13,0,gp.intrans,2,4,the,352,FALSE,Since Dave worried the counselor devised a plan.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,13,0,gp.intrans,2,5,counselor,301,FALSE,Since Dave worried the counselor devised a plan.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,13,0,gp.intrans,2,6,devised,300,FALSE,Since Dave worried the counselor devised a plan.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,13,0,gp.intrans,2,7,a,299,FALSE,Since Dave worried the counselor devised a plan.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,13,0,gp.intrans,2,8,plan.,261,FALSE,Since Dave worried the counselor devised a plan.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,1,When,349,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,2,Tyler,345,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,3,sneezed,339,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,4,the,288,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,5,driver%2C,299,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,6,he,306,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,7,passed,284,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,8,a,300,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,9,tissue.,257,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
